NUM.,TITULO,ARTISTA,GENERO
3,"CACHETE, PECHITO, OMBLIGO",DE LUXE,CUMBIA
8328,CON LOS CINCO SENTIDOS,DE RAYMOND,BALADA
2330,FOOLISH BEAT,DEBBIE GIBSON,B. INGLES
498,LOST IN YOUR EYES,DEBBIE GIBSON,B. INGLES
6202,DIOS ESTA EN ESTE LUGAR,DEBORAH PRUNEDA,CRISTIANA
4020,HIGHWAY STAR,DEEP PURPLE,ROCK
4117,HUSH,DEEP PURPLE,ROCK
3105,ANIMAL,DEF LEPPARD,ROCK
3070,HYSTERIA,DEF LEPPARD,ROCK
3086,POUR SOME SUGAR ON ME,DEF LEPPARD,ROCK
199,YO SIN TU AMOR,DEL LIMITE,CUMBIA
6318,MAJESTAD,DELIRIOUS,CRISTIANA
4422,JESAHEL,DELIRIUM,BALADA
5919,LET IT GO,DEMI LOVATO,B. INGLES
4387,SEÑORA SEÑORA,DENISSE DE KALAFE,BALADA
7530,ESTAR CONTIGO,DENNIS FERNANDO,REGGAETON
7515,CHICA MALA,DENNIS FERNANDO & ROBERT TAYLOR,REGGAETON
7395,WHATS MY NAME,DESCENDANTS 2,POP
7083,NO TE CREAS TAN IMPORTANTE,DEYBIS OROSCO,CUMBIA
4939,SI NO LA TENGO,DIABLOS LOCOS,SALSA
5142,THE LOOK OF LOVE,DIANA KRALL,B. INGLES
4644,THANK YOU,DIDO,POP
5399,HASTA EL FIN DEL MUNDO,DIEGO DIBOS & MARICARMEN MARIN,BALADA
3424,MAS,DIEGO GONZALEZ,BALADA
3089,RESPONDE,DIEGO GONZALEZ,BALADA
5567,ECUADOR SIEMPRE PRIMERO,DIEGO LABADIA,MUNDIAL
4057,EL ARTISTA,DIEGO REALPE,VALS
5352,ALGUIEN LA VIO PARTIR,DIEGO TORRES,BALADA
6125,ANDANDO,DIEGO TORRES,POP
6156,CANTAR HASTA MORIR,DIEGO TORRES,BALADA
1484,COLOR ESPERANZA,DIEGO TORRES,BALADA
5512,DONDE VAN,DIEGO TORRES,BALADA
4319,GUAPA,DIEGO TORRES,POP
6261,HASTA CUANDO,DIEGO TORRES,POP
658,LA ULTIMA NOCHE,DIEGO TORRES,RUMBA
5435,NO LO SOÑE,DIEGO TORRES,BALADA
1607,PENELOPE,DIEGO TORRES,BALADA
3187,QUE NO ME PIERDA,DIEGO TORRES,BALADA
4040,SE QUE YA NO VOLVERAS,DIEGO TORRES,BALADA
4136,SUEÑOS,DIEGO TORRES,POP
5474,TODO CAMBIA,DIEGO TORRES,BALADA
4095,TRATAR DE ESTAR MEJOR,DIEGO TORRES,BALADA
1621,UNA GOTITA DE TU AMOR,DIEGO TORRES,BALADA
5152,ABRIENDO CAMINOS,DIEGO TORRES & JUAN LUIS GUERRA,BALADA
7321,COCO LOCO,DIEGO VERDAGUER,BALADA
6225,EL PASADISCOS,DIEGO VERDAGUER,BALADA
1162,LA LADRONA,DIEGO VERDAGUER,BALADA
7555,MENTIRAS BONITAS,DIEGO VERDAGUER,RANCHERA
6370,NO VOLVERAS,DIEGO VERDAGUER,RANCHERA
7963,PIDEME,DIEGO VERDAGUER,BALADA
7967,QUE SUFRAS MAS,DIEGO VERDAGUER,BALADA
4888,QUIEN DE LOS DOS SERA,DIEGO VERDAGUER,RANCHERA
3848,USTED QUE HARIA,DIEGO VERDAGUER,BALADA
775,VOLVERE,DIEGO VERDAGUER,BALADA
4497,VOY A CONQUISTARTE,DIEGO VERDAGUER,BALADA
3350,YO NO LLORO POR LLORAR,DIEGO VERDAGUER,BALADA
6807,NADIE COMO TU,DIGNA ISABEL,CUMBIA
3358,DECIDETE POR MI,DINO,BALADA
249,MIL AÑOS,DINO,BALADA
255,QUE TE APROVECHE,DINO,BALADA
2406,AMARTE MAS NO PUEDO,DIOMEDES DIAZ,VALLENATO
6140,AY LA VIDA,DIOMEDES DIAZ,VALLENATO
5905,BRINDO CON EL ALMA,DIOMEDES DIAZ,VALLENATO
5616,EL CONDOR HERIDO,DIOMEDES DIAZ,VALLENATO
4920,EN TU CUMPLEAÑOS,DIOMEDES DIAZ,VALLENATO
6268,HIJA,DIOMEDES DIAZ,VALLENATO
2768,ILUSIONES,DIOMEDES DIAZ,VALLENATO
5917,LA FALLA FUE TUYA,DIOMEDES DIAZ,VALLENATO
3422,LA IRREMPLAZABLE,DIOMEDES DIAZ,VALLENATO
3778,LA REINA,DIOMEDES DIAZ,VALLENATO
5783,MAS ALLA DEL CIELO,DIOMEDES DIAZ,VALLENATO
5925,MI MUCHACHO,DIOMEDES DIAZ,VALLENATO
5685,MI PRIMERA CANA,DIOMEDES DIAZ,VALLENATO
4079,OYE BONITA,DIOMEDES DIAZ,VALLENATO
1394,POR QUE TE AMO,DIOMEDES DIAZ,VALLENATO
2019,QUE HUBO LINDA,DIOMEDES DIAZ,VALLENATO
4241,SIN MEDIR DISTANCIAS,DIOMEDES DIAZ,VALLENATO
4791,SIN SABER QUE ME ESPERA,DIOMEDES DIAZ,VALLENATO
4268,THE SULTANS OF SWING,DIRE STRAITS,ROCK
496,WALK OF LIKE,DIRE STRAITS,B. INGLES
3321,DE AMOR Y DE MIEL,DIVEANA,MERENGUE
3326,FRIO Y DISTANTE,DIVEANA,MERENGUE
6828,NOCHES DE MEDIA LUNA,DIVEANA,MERENGUE
7570,POBRE CORAZON,DIVINO,BALADA
7842,IM THE ONE,DJ KHALED feat JUSTIN BIEBER,POP
7778,TAKI TAKI,DJ SNAKE FEAT SELENA GOMEZ,REGGAETON
5153,ACUYUYE,DLG,SALSA
4021,JULIANA,DLG,SALSA
5206,NO MORIRA,DLG,SALSA
3849,VOLVERE,DLG,BACHATA
7118,CAKE BY THE OCEAN,DNCE,POP
